"date","m0","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18","m19","m20","m21","m22","m23","m24","m25","m26","m27","m28","m29","m30","m31","m32","m33","m34","m35","m36","m37","m38","m39","m40","m41","m42","m43","m44","m45","m46","m47","m48","m49","m50"
2015-04-09 14:00:00,10.4,4.4775,4.27,4.10714285714286,4.015,3.99263157894737,3.94418604651163,3.88615384615385,3.87090909090909,3.785625,3.75,3.76244444444444,3.72175438596491,3.7,3.69688888888889,3.69,3.68916666666667,3.6925,3.7,3.7,3.68,3.71704545454545,3.75491525423729,3.73904761904762,3.74885714285714,3.78677966101695,3.78625,3.7,3.7,3.70615384615385,3.69,3.70545454545455,3.72709090909091,3.71272727272727,3.72,3.7281914893617,3.7231914893617,3.72413043478261,3.74,3.72897058823529,3.73,3.72027777777778,3.77438596491228,3.79,3.79,3.73666666666667,3.72,3.73918918918919,3.76652173913043,3.7928813559322,3.74862068965517
2015-04-15 13:00:00,5.37,5.34,5.31125,5.3,5.27,5.26,5.254,5.25,5.25,5.27,5.28,5.24125,5.24,5.25,5.23,5.22888888888889,5.22,5.22,5.25,5.234,5.23,5.23,5.24,5.24,5.24,5.23823529411765,5.22,5.17,5.13,5.16647058823529,5.132,5.12,5.14565217391304,5.14692307692308,5.16852941176471,5.2,5.2,5.2,5.2,5.2,5.2,5.18272727272727,5.19,5.19,5.18041666666667,5.19,5.17,5.17,4.95764705882353,4.94931034482759,4.90375
2015-04-16 14:00:00,6.31,6.32771428571429,5.70838709677419,5.31821428571429,5.22,5.21,5.20379310344828,5.2,5.2,5.2,5.19576923076923,5.1865625,5.17714285714286,5.17,5.15068965517241,5.14,5.11,5.103125,5.1,5.1,5.1,5.09,5.09,5.08,5.08,5.08,5.07925925925926,5.03047619047619,5.01447368421053,4.93730769230769,4.8584,4.83142857142857,4.8328,4.83,4.82,4.82,4.805,4.78,4.75,4.75,4.72222222222222,4.7,4.69,4.66128205128205,4.618125,4.56975,4.54,4.48575757575758,4.36702702702703,4.33,4.33
2015-04-22 09:00:00,6.99,6.98,6.95,6.88,6.73692307692308,6.664,6.6,6.5425,6.5125,6.45,6.42925925925926,6.35285714285714,6.31,6.27333333333333,6.19090909090909,6.02612903225806,5.80346153846154,5.62826086956522,5.63,5.62,5.59666666666667,5.47142857142857,5.37258064516129,5.3,5.23857142857143,5.172,4.87833333333333,4.81727272727273,4.78,4.76,4.75,4.73243902439024,4.70581395348837,4.69128205128205,4.6855,4.68,4.66,4.65,4.63777777777778,4.61181818181818,4.5821875,4.55,4.53909090909091,4.5295652173913,4.52982456140351,4.52090909090909,4.51,4.51,NA,NA,NA
2015-04-29 07:00:00,8.06,8.026,8.01,8.01,8.02,8.02,8.02,8.03,8.02,8.01,7.94,7.91434782608696,7.87444444444444,7.718,7.496,7.23961538461538,6.411875,6.01583333333333,5.44538461538462,5.22166666666667,5.02,4.96090909090909,4.94657142857143,4.93,4.84944444444444,4.82,4.79666666666667,4.78,4.76,4.75,4.75,4.74,4.71,4.7,4.69615384615385,4.68333333333333,4.67272727272727,4.67,4.65,4.64,4.64,4.64,4.63,4.6264,4.62,4.61,4.61,4.61,4.6,4.5984,4.58416666666667
2015-05-06 10:00:00,10.66,10.66,10.6568421052632,10.65,10.65,10.65,10.63,10.614347826087,9.06,8.66666666666667,7.97307692307692,7.63368421052632,7.43285714285714,7.00666666666667,6.76941176470588,6.56,6.44,5.86363636363636,5.53869565217391,5.24363636363636,5.11555555555556,5.05333333333333,4.97,4.94,4.90285714285714,4.86,4.82354838709677,4.78571428571429,4.75366666666667,4.7316,4.72,4.69,4.68,4.66,4.65,4.64,4.625,4.62,4.61,4.58823529411765,4.57,4.56,4.56,4.56,4.55,4.55,4.55,4.53,4.52,4.51631578947368,4.502
2015-05-15 09:00:00,12.5,12.4645454545455,12.2983333333333,12.1825,12.0895833333333,12.06,12.025625,11.785,10.2933333333333,9.67052631578947,8.74736842105263,8.159375,7.56823529411765,6.835,6.48105263157895,6.0636,5.854,5.72,5.55818181818182,5.477,5.40375,5.33,5.27176470588235,5.13142857142857,5.06944444444444,5.04,5.00647058823529,4.98,4.96,4.95,4.93,4.9,4.88,4.86,4.84,4.83,4.82478260869565,4.81,4.79,4.78,4.77,4.76142857142857,4.76,4.73,4.72,4.72,4.71,4.7095,4.7,4.69,4.68458333333333
2015-05-20 12:00:00,13.11,13.1,13.082,13.08,13.08,13.08,13.04875,12.914,12.7145454545455,11.7611111111111,10.4092682926829,9.02473684210526,7.99288888888889,7.158125,6.56111111111111,6.06176470588235,5.67808510638298,5.48607142857143,5.36720930232558,5.29113636363636,5.22636363636364,5.12952380952381,5.07536585365854,5.03153846153846,5.00684210526316,4.96951219512195,4.924,4.90022222222222,4.89,4.86454545454546,4.83710526315789,4.82030303030303,4.81782608695652,4.81,4.81,4.8,4.79857142857143,4.78981481481481,4.78,4.77957446808511,4.77,4.74551724137931,4.73538461538462,4.72,4.72,4.71090909090909,4.701875,4.6958064516129,4.69,4.67565217391304,4.66
2015-05-27 08:00:00,13.93,13.94,13.94,13.94,13.94,13.93,13.542,12.2488888888889,11.5077777777778,10.9852380952381,9.23333333333333,7.92909090909091,7.27,6.23739130434783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-27 09:00:00,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.75642857142857,5.60166666666667,5.47655172413793,5.41,5.3268,5.25,5.23,5.19142857142857,5.15851851851852,5.10724137931035,5.04214285714286,5.02,4.98,4.97,4.94928571428571,4.92,4.90735294117647,4.89,4.87,4.86,4.84272727272727,4.82560975609756,4.81,4.81,4.79,4.79,4.78,4.76,4.75,4.74,4.72,4.71451612903226,4.7,4.69,4.69,4.68,4.67
