0	-17.844	1.377	4.004	226.854
0	-15.499	1.496	4.004	229.15
0	-13.154	1.615	4.004	231.446
44.882	-10.809	1.735	4.072	233.742
67.495	-8.464	1.854	4.998	236.038
0	-9.02	1.973	4.004	238.334
0	-9.576	2.092	4.004	240.63
0	-10.132	2.212	4.004	242.926
0	-10.688	2.331	3.987	245.222
0	-10.034	2.36	3.987	246.1
0	-9.379	2.389	3.987	246.979
32.382	-8.725	2.418	4.056	247.857
48.966	-8.071	2.447	4.981	248.736
0	-8.311	2.476	3.987	249.615
0	-8.551	2.505	3.987	250.493
0	-8.791	2.535	3.987	251.372
0	-9.031	2.564	6.16	252.25
0	-8.395	2.577	6.16	252.481
0	-7.759	2.591	6.16	252.711
27.195	-7.122	2.604	6.232	252.941
41.317	-6.486	2.618	7.154	253.171
0	-6.806	2.631	6.16	253.402
0	-7.125	2.645	6.16	253.632
0	-7.444	2.658	6.16	253.862
0	-7.764	2.672	5.434	254.092
0	-7.557	2.657	5.434	252.378
0	-7.351	2.642	5.434	250.664
23.866	-7.145	2.628	5.51	248.95
36.404	-6.939	2.613	6.43	247.236
0	-7.623	2.598	5.434	245.522
0	-8.307	2.583	5.434	243.808
0	-8.991	2.569	5.434	242.094
0	-9.676	2.554	4.275	240.379
0	-8.715	2.502	4.275	240.666
0	-7.755	2.451	4.275	240.953
41.411	-6.794	2.399	4.354	241.24
63.373	-5.834	2.347	5.271	241.527
0	-9.383	2.296	4.275	241.813
0	-12.933	2.244	4.275	242.1
0	-16.482	1.7	4.275	242.387
0	-20.032	1.258	3.086	242.674
0	-15.566	1.834	3.086	246.72
0	-11.1	2.637	3.086	250.767
41.327	-6.634	3.308	3.169	254.813
63.406	-2.168	3.698	4.082	258.859
0	-2.422	4.087	3.086	262.906
0	-2.676	4.476	3.086	266.952
0	-2.93	4.866	3.086	270.998
0	-3.184	4.855	6.098	275.044
0	-1.162	5.178	6.098	271.344
0	0.86	5.101	6.098	267.644
23.877	2.883	5.024	6.186	263.943
36.701	4.905	4.947	7.095	260.243
0	3.052	4.871	6.101	256.543
0	1.2	4.794	6.098	252.842
0	-0.652	4.717	6.098	249.142
0	-2.504	4.64	5.619	245.442
0	-0.846	4.719	5.619	247.431
0	0.811	4.799	5.619	249.42
64.072	2.469	4.878	5.711	251.409
98.599	4.127	4.957	6.616	253.398
0	2.66	5.036	5.627	255.387
0	1.194	5.115	5.619	257.377
0	-0.273	5.194	5.619	259.366
0	-1.74	5.274	3.857	261.355
0	-0.938	5.181	3.857	262.635
0	-0.137	5.089	3.857	263.915
60.231	0.665	4.996	3.955	265.195
92.738	1.467	4.904	4.855	266.475
0	-0.025	4.812	3.873	267.755
0	-1.517	4.719	3.857	269.035
0	-3.01	4.627	3.857	270.315
0	-4.502	4.398	2.282	271.595
0	-3.593	4.457	2.282	269.736
0	-2.684	4.38	2.282	267.878
19.951	-1.775	4.302	2.386	266.019
30.715	-0.866	4.225	3.28	264.161
0	-2.186	4.147	2.305	262.302
0	-3.506	4.069	2.282	260.443
0	-4.826	3.992	2.282	258.585
0	-6.147	3.882	2.952	256.726
0	-4.763	4.024	2.952	259.19
0	-3.38	4.133	2.952	261.653
40.021	-1.996	4.242	3.062	264.117
61.572	-0.613	4.351	3.95	266.581
0	-1.266	4.46	2.984	269.044
0	-1.919	4.569	2.952	271.508
0	-2.571	4.678	2.952	273.971
0	-3.224	4.788	5.489	276.435
0	-2.366	4.88	5.489	276.585
0	-1.508	4.973	5.489	276.736
25.187	-0.649	5.066	5.605	276.886
38.702	0.209	5.159	6.487	277.037
0	-0.162	5.251	5.53	277.187
0	-0.534	5.344	5.489	277.338
0	-0.905	5.437	5.489	277.488
0	-1.276	5.53	2.761	277.638
0	-0.801	5.464	2.761	277.184
0	-0.326	5.398	2.761	276.73
49.989	0.148	5.332	2.883	276.275
76.677	0.623	5.266	3.759	275.821
0	-0.002	5.2	2.812	275.366
0	-0.627	5.134	2.761	274.912
0	-1.252	5.068	2.761	274.457
0	-1.877	5.002	1.687	274.003
0	-1.561	4.967	1.687	274.544
0	-1.245	4.933	1.687	275.085
50.095	-0.929	4.898	1.817	275.626
76.666	-0.613	4.864	2.686	276.167
0	-1.144	4.829	1.749	276.708
0	-1.675	4.794	1.687	277.249
0	-2.206	4.76	1.687	277.79
0	-2.738	4.725	3.687	278.331
0	-2.067	4.536	3.687	276.467
0	-1.397	4.347	3.687	274.602
31.064	-0.727	4.158	3.824	272.737
47.412	-0.057	3.969	4.686	270.872
0	-2.331	3.78	3.76	269.008
0	-4.605	3.591	3.687	267.143
0	-6.88	3.403	3.687	265.278
0	-9.154	3.076	1.718	263.413
0	-7.83	3.293	1.718	263.646
0	-6.505	3.372	1.718	263.879
58.522	-5.181	3.451	1.863	264.111
89.042	-3.857	3.53	2.717	264.344
0	-4.674	3.609	1.802	264.576
0	-5.491	3.688	1.718	264.809
0	-6.308	3.767	1.718	265.042
0	-7.125	3.601	1.811	265.274
0	-5.934	3.854	1.811	265.668
0	-4.743	3.862	1.811	266.063
56.796	-3.552	3.87	1.964	266.457
86.113	-2.362	3.879	2.81	266.851
0	-3.095	3.887	1.907	267.245
0	-3.829	3.895	1.811	267.639
0	-4.562	3.903	1.811	268.033
0	-5.296	3.911	1.961	268.428
0	-4.814	3.865	1.961	267.72
0	-4.332	3.82	1.961	267.012
51.764	-3.85	3.774	2.122	266.304
78.18	-3.369	3.728	2.96	265.596
0	-4.119	3.682	2.069	264.888
0	-4.87	3.636	1.961	264.18
0	-5.62	3.59	1.961	263.472
0	-6.371	3.545	1.459	262.764
0	-5.544	3.438	1.459	261.753
0	-4.716	3.33	1.459	260.743
61.85	-3.889	3.223	1.628	259.733
93.021	-3.061	3.116	2.458	258.723
0	-4.7	3.009	1.579	257.713
0	-6.339	2.902	1.459	256.703
0	-7.977	2.795	1.459	255.693
0	-9.616	2.688	1.985	254.682
0	-8.668	2.805	1.985	255.729
0	-7.72	2.923	1.985	256.776
73.849	-6.773	3.04	2.163	257.823
110.57	-5.825	3.157	2.984	258.87
0	-5.798	3.274	2.118	259.917
0	-5.77	3.391	1.985	260.964
0	-5.742	3.509	1.985	262.011
0	-5.715	3.626	2.45	263.057
0	-5.214	3.583	2.45	262.453
0	-4.713	3.54	2.45	261.848
62.636	-4.212	3.497	2.637	261.243
93.335	-3.711	3.454	3.45	260.638
0	-4.537	3.411	2.595	260.033
0	-5.363	3.367	2.45	259.429
0	-6.189	3.324	2.45	258.824
0	-7.015	3.281	1.923	258.219
0	-6.483	3.238	1.923	258.555
0	-5.951	3.196	1.923	258.892
71.933	-5.418	3.153	2.119	259.228
106.654	-4.886	3.11	2.923	259.565
0	-5.522	3.067	2.081	259.901
0	-6.159	3.024	1.923	260.237
0	-6.795	2.981	1.923	260.574
0	-7.431	2.939	1.696	260.91
0	-7.095	2.956	1.696	261.254
0	-6.759	2.973	1.696	261.599
49.106	-6.423	2.991	1.901	261.943
72.431	-6.087	3.008	2.695	262.287
0	-6.363	3.025	1.866	262.631
0	-6.639	3.042	1.696	262.976
0	-6.915	3.06	1.696	263.32
0	-7.191	3.077	3.745	263.664
0	-6.995	2.962	3.745	261.638
0	-6.799	2.847	3.745	259.611
28.516	-6.603	2.732	3.959	257.585
41.835	-6.407	2.617	4.744	255.558
0	-8.483	2.502	3.927	253.532
0	-10.56	2.387	3.745	251.505
0	-12.637	2.272	3.745	249.479
0	-14.713	1.968	3.161	247.452
0	-12.69	2.223	3.161	250.079
0	-10.667	2.289	3.161	252.705
74.115	-8.644	2.355	3.385	255.331
108.129	-6.621	2.421	4.16	257.958
0	-8.277	2.487	3.356	260.584
0	-9.934	2.553	3.161	263.211
0	-11.59	2.536	3.161	265.837
0	-13.247	2.219	2.322	268.463
0	-10.994	2.637	2.322	265.567
0	-8.741	2.59	2.322	262.67
30.805	-6.488	2.542	2.556	259.774
44.687	-4.235	2.495	3.322	256.877
0	-7.324	2.447	2.53	253.98
0	-10.414	2.4	2.322	251.084
0	-13.503	2.173	2.322	248.187
0	-16.592	1.684	3.384	245.291
0	-13.432	2.185	3.384	242.95
0	-10.272	2.064	3.384	240.609
54.916	-7.112	1.944	3.628	238.268
79.201	-3.952	1.823	4.384	235.927
0	-8.449	1.703	3.605	233.586
0	-12.946	1.582	3.384	231.245
0	-17.443	1.462	3.384	228.904
0	-21.939	1.065	2.606	226.563
0	-18.763	1.402	2.606	229.82
0	-15.586	1.707	2.606	233.076
102.31	-12.41	1.89	2.859	236.332
146.684	-9.233	2.073	3.606	239.588
0	-9.422	2.256	2.839	242.844
0	-9.611	2.439	2.606	246.1
0	-9.799	2.621	2.606	249.356
0	-9.988	2.804	1.959	252.612
