0	-20.952	1.161	3.869	226.855
0	-18.184	1.473	3.869	223.229
0	-15.416	1.64	3.869	219.603
64.148	-12.648	1.675	4.022	215.978
120.331	-9.88	1.711	4.857	212.352
7.325	-11.125	1.747	4.263	208.726
0	-12.371	1.783	3.869	205.1
0	-13.617	1.819	3.869	201.474
0	-14.862	1.854	3.675	197.848
0	-13.829	1.964	3.675	202.326
0	-12.795	2.074	3.675	206.804
104.47	-11.762	2.184	3.828	211.281
196.537	-10.728	2.294	4.662	215.759
12.884	-11.508	2.404	4.074	220.236
0	-12.288	2.398	3.675	224.714
0	-13.068	2.251	3.675	229.191
0	-13.848	2.113	4.604	233.669
0	-11.482	2.558	4.604	231.567
0	-9.115	2.705	4.604	229.466
72.997	-6.749	2.691	4.758	227.364
137.666	-4.382	2.677	5.591	225.262
9.701	-6.351	2.663	5.01	223.16
0	-8.319	2.649	4.604	221.059
0	-10.288	2.635	4.604	218.957
0	-12.256	2.404	2.117	216.855
0	-10.998	2.59	2.117	218.567
0	-9.739	2.559	2.117	220.278
97.771	-8.481	2.528	2.271	221.989
184.758	-7.222	2.498	3.103	223.701
13.971	-8.584	2.467	2.528	225.412
0	-9.945	2.436	2.117	227.124
0	-11.306	2.405	2.117	228.835
0	-12.668	2.325	1.299	230.546
0	-11.768	2.328	1.299	227.115
0	-10.869	2.281	1.299	223.685
81.485	-9.969	2.235	1.454	220.254
154.222	-9.069	2.189	2.285	216.823
12.491	-10.931	2.142	1.715	213.392
0	-12.793	2.096	1.299	209.961
0	-14.655	1.978	1.299	206.53
0	-16.516	1.695	1.341	203.1
0	-14.507	2.002	1.341	206.785
0	-12.498	2.081	1.341	210.471
108.708	-10.488	2.12	1.498	214.157
205.977	-8.479	2.159	2.327	217.842
17.835	-10.047	2.198	1.763	221.528
0	-11.616	2.236	1.341	225.214
0	-13.184	2.23	1.341	228.899
0	-14.753	1.962	3.408	232.585
0	-11.603	2.533	3.408	238.36
0	-8.453	2.779	3.408	244.136
96.294	-5.304	3.012	3.566	249.911
182.579	-2.154	3.245	4.393	255.687
16.868	-2.415	3.477	3.836	261.463
0	-2.675	3.71	3.408	267.238
0	-2.935	3.942	3.408	273.014
0	-3.196	4.175	3.89	278.789
0	-2.487	4.337	3.89	278.885
0	-1.778	4.5	3.89	278.98
39.453	-1.069	4.662	4.049	279.076
74.825	-0.36	4.825	4.874	279.171
7.362	-0.757	4.987	4.324	279.267
0	-1.155	5.15	3.89	279.362
0	-1.552	5.312	3.89	279.458
0	-1.949	5.32	3.156	279.553
0	-1.428	5.348	3.156	277.015
0	-0.906	5.221	3.156	274.476
24.089	-0.385	5.094	3.318	271.938
45.676	0.137	4.968	4.14	269.399
