Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       21   21.0000       3.84225       3.84225       3.84225       0.00000      0.733862E-04   0.00000      -48.0142      0.237489E-01 -0.471671E-02   39.5196       0.00000      -330.437       16.0500      0.500000       1.32172       4.52893     -0.567337       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       3.82197       3.83209       3.84225      0.372882E-01  0.132043E-02   0.00000      -68.1176      -9.65756      -9.16030       34.0181       0.00000      -330.340      0.382834E-01  0.500000       1.34957       4.52292     -0.550765       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       3.78909       3.78909       3.78909      0.626175E-01  0.221751E-02   0.00000      -39.6856      -6.29077      -7.26843       25.6181       0.00000      -330.183       16.0500      0.500000       1.27801       4.53830     -0.640171       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       3.77118       3.77188       3.78909      0.881149E-01  0.312058E-02   0.00000      -56.3768      -12.5333      -13.0710       27.4067       0.00000      -330.098       14.7962      0.500000       1.30831       4.53173     -0.619856       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       3.73207       3.73554       3.78909      0.828867E-01  0.293564E-02   0.00000      -50.9858      -3.91699      -9.91371       34.7067       0.00000      -329.912       14.0966      0.500000       1.33756       4.52541     -0.601143       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       3.70835       3.71545       3.78909       0.00000      0.921273E-04  0.126949E-02 -0.147581      0.370108E-01  0.208494E-01   17.6335       0.00000      -329.799       13.2274      0.500000       1.36583       4.51932     -0.583833       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       3.73761       3.73861       3.79936      0.206608      0.731746E-02  0.184493E-02   20.6332       22.3432       2.94070       26.0093       0.00000      -329.938       15.5418      0.511056       1.40388       4.51117     -0.553679       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       3.79910       3.79910       3.79910      0.305895      0.108326E-01  0.102631E-02  -18.4849       13.1237      -9.62768       32.2391       0.00000      -330.231       16.0500      0.500000       1.42967       4.50567     -0.539686       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       3.81742       3.81742       3.81742      0.121377      0.429818E-02   0.00000      -87.7732      -13.3570      -22.6184       42.2977       0.00000      -330.319       16.0500      0.500000       1.47495       4.49605     -0.502433       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       3.75978       3.75978       3.75978      0.144021      0.510061E-02   0.00000      -90.3914      -14.3129      -25.1107       43.5827       0.00000      -330.044       16.0500      0.500000       1.43345       4.50481     -0.567568       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       3.70051       3.70051       3.70051      0.126105      0.446661E-02   0.00000      -23.7762      0.294711      -14.8107       24.8003       0.00000      -329.761       16.0500      0.500000       1.39656       4.51264     -0.635023       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       3.70263       3.70263       3.70263       0.00000      0.968389E-04  0.147263E-02  -1.77477      0.387131E-01  0.200098E-01   23.3471       0.00000      -329.771       16.0500      0.500000       1.42650       4.50625     -0.615177       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       3.73107       3.73107       3.73107       0.00000      0.840052E-04  0.146174E-02 -0.883501      0.259617E-01  0.534435E-02   24.2376       0.00000      -329.907       16.0500      0.500000       1.48220       4.49442     -0.562387       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       3.76173       3.76173       3.76173      0.237047      0.839514E-02  0.168315E-02   27.7004       22.2623       9.18130       8.70278       0.00000      -330.053       16.0500      0.500000       1.53993       4.48225     -0.510937       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       3.80904       3.80904       3.80904      0.160361      0.567874E-02  0.887820E-03  -34.4732       10.8547      -8.67486       47.0722       0.00000      -330.279       16.0500      0.500000       1.61644       4.46625     -0.443984       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       3.82576       3.82576       3.82576      0.712399E-01  0.252269E-02   0.00000      -43.4074     -0.202265      -5.22067       46.2211       0.00000      -330.358       16.0500      0.500000       1.65750       4.45776     -0.416381       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       3.82990       3.82990       3.82990      0.225708      0.799251E-02   0.00000      -33.7056      -1.89086      -15.5341       31.5909       0.00000      -330.378       16.0500      0.500000       1.67707       4.45374     -0.406208       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       3.82771       3.82771       3.82771      0.206297      0.730518E-02   0.00000      -75.0114      -7.61092      -30.4872       45.5704       0.00000      -330.368       16.0500      0.500000       1.69339       4.45040     -0.401549       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       3.79049       3.79049       3.79049      0.146963      0.520449E-02   0.00000      -108.559      -18.3299      -36.8816       51.7405       0.00000      -330.190       16.0500      0.500000       1.66430       4.45634     -0.436890       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       3.71822       3.71822       3.71822      0.902016E-01  0.319480E-02   0.00000      -109.594      -15.0662      -24.9122       62.1299       0.00000      -329.846       16.0500      0.500000       1.59513       4.47054     -0.515024       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       3.65705       3.65805       3.71822      0.802960E-01  0.284429E-02   0.00000      -105.025      -14.0640      -20.4410       64.8465       0.00000      -329.554       15.5238      0.500000       1.61761       4.46588     -0.504719       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       3.59754       3.60720       3.71822      0.105120      0.372407E-02   0.00000      -80.6604      -9.99272      -19.2189       57.6980       0.00000      -329.271       13.4815      0.500000       1.63961       4.46133     -0.494921       0.00000       0.00000       0.00000       0.00000    
       43   43.0000       3.56406       3.57840       3.71822      0.929422E-01  0.329284E-02   0.00000      -77.1701      -9.73722      -17.8442       56.8582       0.00000      -329.112       13.0635      0.500000       1.66114       4.45690     -0.485590       0.00000       0.00000       0.00000       0.00000    
       44   44.0000       3.53149       3.55299       3.71822      0.812489E-01  0.287874E-02   0.00000      -50.7647      -3.04999      -11.4266       52.3574       0.00000      -328.957       12.3545      0.500000       1.68224       4.45257     -0.476691       0.00000       0.00000       0.00000       0.00000    
       45   45.0000       3.52894       3.55564       3.71822      0.192983      0.683765E-02  0.156379E-02  -11.8541       6.37914      -4.29953       37.5935       0.00000      -328.945       11.5224      0.500000       1.70291       4.44834     -0.468190       0.00000       0.00000       0.00000       0.00000    
       46   46.0000       3.58011       3.58923       3.73639      0.124809      0.442170E-02   0.00000      -57.1835      -5.29904      -15.8419       54.7086       0.00000      -329.188       14.4428      0.583068       1.74490       4.43977     -0.440195       0.00000       0.00000       0.00000       0.00000    
       47   47.0000       3.57631       3.58662       3.73639      0.121615      0.430860E-02   0.00000      -69.6860      -12.5532      -22.9301       48.6877       0.00000      -329.170       13.9816      0.500000       1.76416       4.43587     -0.432974       0.00000       0.00000       0.00000       0.00000    
       48   48.0000       3.54611       3.56027       3.73639      0.953576E-01  0.337853E-02   0.00000      -85.3985      -14.2454      -19.1975       62.7750       0.00000      -329.026       13.6620      0.500000       1.78308       4.43205     -0.426039       0.00000       0.00000       0.00000       0.00000    
       49   49.0000       3.50771       3.53181       3.73639      0.127150      0.450528E-02   0.00000      -74.9875      -14.1377      -21.8576       55.0081       0.00000      -328.844       12.6663      0.500000       1.80167       4.42830     -0.419372       0.00000       0.00000       0.00000       0.00000    
       50   50.0000       3.47941       3.50674       3.72780      0.786271E-01  0.278612E-02   0.00000      -71.5228      -10.6347      -16.8119       58.0922       0.00000      -328.709       12.8421      0.550673       1.80902       4.42683     -0.421963       0.00000       0.00000       0.00000       0.00000    
       51   51.0000       3.44869       3.49007       3.72780      0.664429E-01  0.235452E-02   0.00000      -68.1048      -8.88777      -13.4339       60.9883       0.00000      -328.563       11.5693      0.531029       1.82729       4.42316     -0.415552       0.00000       0.00000       0.00000       0.00000    
       52   52.0000       3.42556       3.48148       3.72780      0.102789      0.364268E-02   0.00000      -109.700      -18.8273      -26.0463       75.9988       0.00000      -328.453       10.3739      0.523170       1.84527       4.41956     -0.409375       0.00000       0.00000       0.00000       0.00000    
       53   53.0000       3.37555       3.43881       3.71625      0.231562      0.820694E-02   0.00000      -93.9365      -29.3222      -42.8220       36.9925       0.00000      -328.216       10.4862      0.535665       1.84805       4.41901     -0.415254       0.00000       0.00000       0.00000       0.00000    
       54   54.0000       3.33777       3.36636       3.70445      0.146339      0.518687E-02   0.00000      -41.9199      -10.5153      -16.8887       28.5258       0.00000      -328.036       13.9466      0.594995       1.85070       4.41848     -0.421313       0.00000       0.00000       0.00000       0.00000    
       55   55.0000       3.31897       3.34973       3.70445      0.903354E-01  0.320199E-02   0.00000      -71.4295      -6.48458      -15.4331       76.1154       0.00000      -327.947       13.4884      0.500000       1.86860       4.41491     -0.415189       0.00000       0.00000       0.00000       0.00000    
       56   56.0000       3.30355       3.35627       3.70445      0.207508      0.735545E-02   0.00000      -45.8739      -3.10503      -21.9625       54.5633       0.00000      -327.874       11.8290      0.500000       1.88624       4.41141     -0.409279       0.00000       0.00000       0.00000       0.00000    
       57   57.0000       3.34110       3.36793       3.71807      0.101105      0.358356E-02  0.148468E-02  -51.9097      -1.47380      -13.0275       71.8376       0.00000      -328.052       14.0227      0.563493       1.92126       4.40447     -0.390134       0.00000       0.00000       0.00000       0.00000    
       58   58.0000       3.37280       3.39397       3.71554      0.120904      0.428506E-02  0.362210E-03  -63.0601      -3.72784      -19.3129       73.6127       0.00000      -328.203       14.4285      0.611495       1.93457       4.40184     -0.387398       0.00000       0.00000       0.00000       0.00000    
       59   59.0000       3.38840       3.40800       3.69941      0.517565E-01  0.183429E-02  0.174336E-02  -53.3139      0.271196      -9.12557       80.3993       0.00000      -328.277       14.6330      0.713791       1.92953       4.40283     -0.398095       0.00000       0.00000       0.00000       0.00000    
       60   60.0000       3.42968       3.44322       3.69769      0.149782      0.530797E-02   0.00000      -59.8552      -5.52381      -25.4080       63.2888       0.00000      -328.473       14.9208      0.718282       1.94405       4.39998     -0.394485       0.00000       0.00000       0.00000       0.00000    
       61   61.0000       3.43162       3.44813       3.69769      0.138881      0.492165E-02  0.201428E-02  -9.59814       4.60787      -5.93656       43.3878       0.00000      -328.482       14.0585      0.500000       1.96066       4.39672     -0.389326       0.00000       0.00000       0.00000       0.00000    
       62   62.0000       3.48898       3.49194       3.71859      0.853235E-01  0.302335E-02  0.107256E-02  -76.0714      -6.14747      -14.9844       92.1909       0.00000      -328.755       15.7145      0.615263       2.00499       4.38804     -0.364608       0.00000       0.00000       0.00000       0.00000    
       63   63.0000       3.51107       3.51306       3.70766      0.577332E-01  0.204563E-02  0.176220E-02  -65.6094      -1.47418      -10.4159       97.2810       0.00000      -328.860       15.8236      0.718282       2.00539       4.38796     -0.370442       0.00000       0.00000       0.00000       0.00000    
       64   64.0000       3.55413       3.55413       3.55413      0.812115E-01  0.287729E-02  0.181445E-02  -51.4240      0.113374E-01  -12.4678       84.8808       0.00000      -329.064       16.0500      0.500000       1.81013       4.42590     -0.525917       0.00000       0.00000       0.00000       0.00000    
       65   65.0000       3.59769       3.59769       3.59769      0.162126      0.574357E-02  0.887965E-03  -76.6536      -3.07964      -27.7217       91.2103       0.00000      -329.272       16.0500      0.500000       1.87983       4.41195     -0.473006       0.00000       0.00000       0.00000       0.00000    
       66   66.0000       3.61695       3.61695       3.61695      0.148433      0.525829E-02   0.00000      -122.854      -16.3772      -41.8496       103.407       0.00000      -329.363       16.0500      0.500000       1.92178       4.40364     -0.447012       0.00000       0.00000       0.00000       0.00000    
       67   67.0000       3.59260       3.59260       3.59260      0.786586E-01  0.278664E-02   0.00000      -91.6337      -5.48734      -23.4725       104.659       0.00000      -329.247       16.0500      0.500000       1.90933       4.40609     -0.465258       0.00000       0.00000       0.00000       0.00000    
       68   68.0000       3.60989       3.60989       3.60989      0.693876E-01  0.245811E-02  0.140114E-02  -76.1910      -4.20442      -16.6954       101.048       0.00000      -329.330       16.0500      0.500000       1.92766       4.40247     -0.448990       0.00000       0.00000       0.00000       0.00000    
       69   69.0000       3.64232       3.64232       3.64232      0.896735E-01  0.317656E-02  0.165295E-02  -68.3229      -1.74137      -17.3908       103.034       0.00000      -329.484       16.0500      0.500000       1.98587       4.39103     -0.411705       0.00000       0.00000       0.00000       0.00000    
       70   70.0000       3.68734       3.68734       3.68734       0.00000      0.894857E-04  0.206026E-02  -23.5459      0.349271E-01  0.709891E-04   82.2902       0.00000      -329.698       16.0500      0.500000       2.06132       4.37635     -0.365009       0.00000       0.00000       0.00000       0.00000    
       71   71.0000       3.76310       3.76310       3.76310       0.00000      0.754989E-04  0.182235E-02  -15.1371      0.240330E-01 -0.161465E-01   68.9917       0.00000      -330.059       16.0500      0.500000       2.18198       4.35317     -0.295309       0.00000       0.00000       0.00000       0.00000    
       72   72.0000       3.83251       3.83251       3.83251       0.00000      0.755610E-04  0.166490E-02  -30.9833      0.254390E-01 -0.215771E-01   93.4140       0.00000      -330.391       16.0500      0.500000       2.30227       4.33056     -0.236234       0.00000       0.00000       0.00000       0.00000    
       73   73.0000       3.91283       3.91283       3.91283       0.00000      0.710366E-04  0.126903E-02  -29.1902      0.172450E-01 -0.341329E-01   89.7545       0.00000      -330.774       16.0500      0.500000       2.45066       4.30329     -0.173986       0.00000       0.00000       0.00000       0.00000    
       74   74.0000       3.99068       3.99068       3.99068      0.239958      0.849450E-02   0.00000      -5.55957       24.6753      -22.6275       64.7734       0.00000      -331.146       16.0500      0.500000       2.60995       4.27486     -0.118902       0.00000       0.00000       0.00000       0.00000    
       75   75.0000       4.06672       4.06672       4.06672       0.00000      0.112206E-03   0.00000     -0.561068      0.692844E-01  0.408786E-01   63.4232       0.00000      -331.509       16.0500      0.500000       2.78369       4.24489     -0.698917E-01   0.00000       0.00000       0.00000       0.00000    
       76   76.0000       4.16235       4.14738       4.06672      0.385330      0.136362E-01   0.00000       99.5661       61.1730       36.4462       26.5995       0.00000      -331.967       11.0266      0.500000       2.78761       4.24424     -0.695391E-01   0.00000       0.00000       0.00000       0.00000    
       77   77.0000       4.30918       4.30918       4.30918       0.00000      0.875496E-04   0.00000      -3.12034      0.559793E-01 -0.115197E-01   67.2725       0.00000      -332.671       16.0500      0.500000       5.00000       4.00000      0.675251E-01   0.00000       0.00000       0.00000       0.00000    
       78   78.0000       4.39598       4.39132       4.30918       0.00000      0.895556E-04   0.00000      -39.3888      0.355605E-01 -0.274886E-01   118.852       0.00000      -333.087       14.3257      0.500000       5.00000       4.00000      0.675251E-01   0.00000       0.00000       0.00000       0.00000    
       79   79.0000       4.50591       4.49308       4.30918       0.00000      0.101223E-03   0.00000      -26.7531      0.492259E-01 -0.470556E-02   102.208       0.00000      -333.615       13.9566      0.500000       5.00000       4.00000      0.675251E-01   0.00000       0.00000       0.00000       0.00000    
       80   80.0000       4.61447       4.58970       4.30918      0.321726      0.113755E-01   0.00000      -10.5307       34.6762      -13.7929       113.641       0.00000      -334.137       13.4458      0.500000       5.00000       4.00000      0.675251E-01   0.00000       0.00000       0.00000       0.00000    
       81   81.0000       4.72178       4.72178       4.72178      0.253610      0.896525E-02   0.00000       16.6847       26.4285      -5.67603       42.1709       0.00000      -334.654       16.0500      0.500000       5.00000       4.00000      0.157636       0.00000       0.00000       0.00000       0.00000    
       82   82.0000       4.79701       4.79701       4.79701       0.00000      0.781020E-04   0.00000      -20.2018      0.417818E-01 -0.383203E-02   100.472       0.00000      -335.017       16.0500      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
       83   83.0000       4.90157       4.89967       4.79701      0.183766      0.649398E-02   0.00000       16.5406       23.4631       1.08946       72.6338       0.00000      -335.521       15.4669      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
       84   84.0000       5.02351       5.01374       4.79701       0.00000      0.725983E-04   0.00000      -20.7889      0.377981E-01 -0.423744E-02   97.9512       0.00000      -336.110       14.6653      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
       85   85.0000       5.13175       5.11242       4.79701      0.145788      0.514966E-02   0.00000      -19.6337       14.1047      -9.72809       98.0361       0.00000      -336.633       14.1961      0.500000       5.00000       4.00000      0.174067       0.00000       0.00000       0.00000       0.00000    
